"DATUM","TYP","VOM KONTO","ZUM KONTO / ZUR KATEGORIE","BETRAG","WÄHRUNG","BETRAG 2","WÄHRUNG 2","BEZEICHNUNGEN","NOTIZEN"
"06.12.19","Ausgabe","Girokarte","Reisen","2.75","EUR","2.75","EUR","",""
"06.12.19","Ausgabe","Girokarte","Abonnenements ","7.99","EUR","7.99","EUR","",""
"06.12.19","Ausgabe","Girokarte","Abonnenements ","9.99","EUR","9.99","EUR","",""
"06.12.19","Ausgabe","Girokarte","Abonnenements ","9.99","EUR","9.99","EUR","",""
"05.12.19","Ausgabe","Girokarte","Freizeit","11","EUR","11","EUR","",""
"05.12.19","Ausgabe","Girokarte","Lebensmittel","1.4","EUR","1.4","EUR","",""
"05.12.19","Ausgabe","Girokarte","Gesundheit","30","EUR","30","EUR","","Fitbox"
"04.12.19","Ausgabe","Girokarte","Freizeit","15","EUR","15","EUR","",""
"04.12.19","Ausgabe","Girokarte","Arbeit (Lebensmittel)","5.7","EUR","5.7","EUR","",""
"04.12.19","Ausgabe","Girokarte","Allgemein","4.99","EUR","4.99","EUR","","Tm geschenk"
"04.12.19","Ausgabe","Girokarte","Allgemein","3.8","EUR","3.8","EUR","",""
"04.12.19","Ausgabe","Girokarte","Lebensmittel","2.19","EUR","2.19","EUR","",""
"03.12.19","Ausgabe","Girokarte","Zaubern (Allgemein)","1.49","EUR","1.49","EUR","",""
"03.12.19","Ausgabe","Girokarte","Arbeit (Lebensmittel)","7.32","EUR","7.32","EUR","",""
"03.12.19","Ausgabe","Girokarte","Lebensmittel","1.99","EUR","1.99","EUR","",""
"03.12.19","Ausgabe","Girokarte","Miete","9.23","EUR","9.23","EUR","",""
"02.12.19","Ausgabe","Girokarte","Kleidung (Allgemein)","4.8","EUR","4.8","EUR","",""
"02.12.19","Ausgabe","Girokarte","Lebensmittel","29.53","EUR","29.53","EUR","",""
"01.12.19","Ausgabe","Girokarte","Reisen","34.4","EUR","34.4","EUR","",""
"01.12.19","Ausgabe","Girokarte","Reisen","3.9","EUR","3.9","EUR","",""
"30.11.19","Ausgabe","Girokarte","Mensa (Lebensmittel)","10","EUR","10","EUR","",""
"29.11.19","Ausgabe","Girokarte","Weiterbildung","596","EUR","596","EUR","","Qx Carte blanche "
"29.11.19","Ausgabe","Girokarte","Gesundheit","23.95","EUR","23.95","EUR","","Vitamine und Omega 3"
"27.11.19","Ausgabe","Girokarte","Arbeit (Lebensmittel)","3.67","EUR","3.67","EUR","",""
"26.11.19","Ausgabe","Girokarte","Allgemein","2.95","EUR","2.95","EUR","",""
"26.11.19","Ausgabe","Girokarte","Lebensmittel","12.76","EUR","12.76","EUR","",""
"26.11.19","Ausgabe","Girokarte","Arbeit (Lebensmittel)","5.44","EUR","5.44","EUR","",""
"25.11.19","Ausgabe","Girokarte","Weiterbildung","67.24","EUR","67.24","EUR","","LIMUN"
"25.11.19","Ausgabe","Girokarte","Allgemein","34.99","EUR","34.99","EUR","","Festplatte"
"25.11.19","Ausgabe","Girokarte","Gesundheit","9.99","EUR","9.99","EUR","",""
"25.11.19","Ausgabe","Girokarte","Allgemein","1","EUR","1","EUR","",""
"25.11.19","Ausgabe","Girokarte","Lebensmittel","3.8","EUR","3.8","EUR","",""
"25.11.19","Ausgabe","Girokarte","Reisen","2.5","EUR","2.5","EUR","",""
"25.11.19","Ausgabe","Girokarte","Freizeit","5.93","EUR","5.93","EUR","",""
"24.11.19","Ausgabe","Girokarte","Weiterbildung","8.11","EUR","8.11","EUR","",""
"24.11.19","Ausgabe","Girokarte","Reisen","4.8","EUR","4.8","EUR","",""
"22.11.19","Ausgabe","Girokarte","Reisen","2.4","EUR","2.4","EUR","",""
"22.11.19","Ausgabe","Girokarte","Abonnenements ","6.99","EUR","6.99","EUR","","Brain.fnlm"
"22.11.19","Ausgabe","Girokarte","Allgemein","7.99","EUR","7.99","EUR","","Conrad geschenk"
"22.11.19","Ausgabe","Girokarte","Weiterbildung","13","EUR","13","EUR","",""
"22.11.19","Ausgabe","Girokarte","Lebensmittel","2.58","EUR","2.58","EUR","",""
"21.11.19","Ausgabe","Girokarte","Allgemein","44.5","EUR","44.5","EUR","","Friseur und shampoo"
"20.11.19","Ausgabe","Girokarte","Arbeit (Lebensmittel)","6.73","EUR","6.73","EUR","",""
"19.11.19","Ausgabe","Girokarte","Freizeit","10","EUR","10","EUR","",""
"19.11.19","Ausgabe","Girokarte","Allgemein","1.98","EUR","1.98","EUR","",""
"19.11.19","Ausgabe","Girokarte","Arbeit (Lebensmittel)","8.24","EUR","8.24","EUR","",""
"18.11.19","Ausgabe","Girokarte","Freizeit","10","EUR","10","EUR","",""
"18.11.19","Ausgabe","Girokarte","Lebensmittel","44.34","EUR","44.34","EUR","",""
"18.11.19","Ausgabe","Girokarte","Gesundheit","30","EUR","30","EUR","","Fitbox"
"18.11.19","Ausgabe","Girokarte","Reisen","16","EUR","16","EUR","","DD zurück"
"18.11.19","Ausgabe","Girokarte","Reisen","26.6","EUR","26.6","EUR","","DD hin"
"17.11.19","Ausgabe","Girokarte","Freizeit","12.5","EUR","12.5","EUR","",""
"16.11.19","Ausgabe","Girokarte","Freizeit","7.49","EUR","7.49","EUR","",""
"15.11.19","Ausgabe","Girokarte","Freizeit","3.96","EUR","3.96","EUR","",""
"15.11.19","Ausgabe","Girokarte","Lebensmittel","4.02","EUR","4.02","EUR","",""
"15.11.19","Ausgabe","Girokarte","Gesundheit","16.95","EUR","16.95","EUR","","Hautcreme"
"14.11.19","Ausgabe","Girokarte","Freizeit","8","EUR","8","EUR","",""
"14.11.19","Ausgabe","Girokarte","Mensa (Lebensmittel)","10","EUR","10","EUR","",""
"13.11.19","Ausgabe","Girokarte","Lebensmittel","1.6","EUR","1.6","EUR","",""
"13.11.19","Ausgabe","Girokarte","Allgemein","7.87","EUR","7.87","EUR","","Hygieneartikel "
"13.11.19","Ausgabe","Girokarte","Reisen","36.8","EUR","36.8","EUR","","Qx frankfurt"
"13.11.19","Einnahme","Girokarte","Omi","50","EUR","50","EUR","",""
"13.11.19","Ausgabe","Girokarte","Abonnenements ","14.99","EUR","14.99","EUR","",""
"12.11.19","Ausgabe","Girokarte","Freizeit","17","EUR","17","EUR","",""
"12.11.19","Ausgabe","Girokarte","Arbeit (Lebensmittel)","8.42","EUR","8.42","EUR","",""
"12.11.19","Ausgabe","Girokarte","Miete","232","EUR","232","EUR","","Miete"
"12.11.19","Ausgabe","Girokarte","Miete","60","EUR","60","EUR","","Nebenkosten"
"11.11.19","Ausgabe","Girokarte","Lebensmittel","26.08","EUR","26.08","EUR","",""
"11.11.19","Ausgabe","Girokarte","Mensa (Lebensmittel)","5","EUR","5","EUR","",""
"10.11.19","Ausgabe","Girokarte","Lebensmittel","1.2","EUR","1.2","EUR","",""
"10.11.19","Ausgabe","Girokarte","Freizeit","4","EUR","4","EUR","",""
"10.11.19","Ausgabe","Girokarte","Reisen","7","EUR","7","EUR","",""
"09.11.19","Ausgabe","Girokarte","Freizeit","5","EUR","5","EUR","",""
"09.11.19","Ausgabe","Girokarte","Reisen","2.8","EUR","2.8","EUR","",""
"08.11.19","Ausgabe","Girokarte","Reisen","2.8","EUR","2.8","EUR","",""
"08.11.19","Ausgabe","Girokarte","Freizeit","3.8","EUR","3.8","EUR","",""
"07.11.19","Ausgabe","Girokarte","Kleidung (Allgemein)","33.7","EUR","33.7","EUR","","Reinigung"
"07.11.19","Ausgabe","Girokarte","Lebensmittel","11.14","EUR","11.14","EUR","",""
"06.11.19","Ausgabe","Girokarte","Freizeit","7","EUR","7","EUR","",""
"06.11.19","Ausgabe","Girokarte","Lebensmittel","10","EUR","10","EUR","",""
"06.11.19","Ausgabe","Girokarte","Allgemein","0.8","EUR","0.8","EUR","",""
"06.11.19","Ausgabe","Girokarte","Abonnenements ","7.99","EUR","7.99","EUR","",""
"06.11.19","Ausgabe","Girokarte","Abonnenements ","9.99","EUR","9.99","EUR","",""
"06.11.19","Ausgabe","Girokarte","Abonnenements ","9.99","EUR","9.99","EUR","",""
"05.11.19","Ausgabe","Girokarte","Lebensmittel","4.99","EUR","4.99","EUR","",""
"04.11.19","Ausgabe","Girokarte","Reisen","25","EUR","25","EUR","","Berlin start Call "
"04.11.19","Ausgabe","Girokarte","Gesundheit","16.26","EUR","16.26","EUR","",""
"04.11.19","Ausgabe","Girokarte","Gesundheit","8.99","EUR","8.99","EUR","",""
"04.11.19","Ausgabe","Girokarte","Lebensmittel","35.61","EUR","35.61","EUR","",""
"04.11.19","Ausgabe","Girokarte","Zaubern (Allgemein)","11.78","EUR","11.78","EUR","",""
"03.11.19","Ausgabe","Girokarte","Lebensmittel","2.4","EUR","2.4","EUR","",""
"03.11.19","Ausgabe","Girokarte","Miete","9.23","EUR","9.23","EUR","",""
"01.11.19","Ausgabe","Girokarte","Reisen","3.4","EUR","3.4","EUR","",""
"01.11.19","Ausgabe","Girokarte","Allgemein","0.8","EUR","0.8","EUR","",""
"01.11.19","Ausgabe","Girokarte","Weiterbildung","7.5","EUR","7.5","EUR","",""
"01.11.19","Ausgabe","Girokarte","Lebensmittel","5.38","EUR","5.38","EUR","",""
"01.11.19","Ausgabe","Girokarte","Zaubern (Allgemein)","7.49","EUR","7.49","EUR","",""
"01.11.19","Ausgabe","Girokarte","Freizeit","3.65","EUR","3.65","EUR","",""
"31.10.19","Ausgabe","Girokarte","Freizeit","8","EUR","8","EUR","",""
"30.10.19","Ausgabe","Girokarte","Zaubern (Allgemein)","29.95","EUR","29.95","EUR","",""
"30.10.19","Ausgabe","Girokarte","Arbeit (Lebensmittel)","8.85","EUR","8.85","EUR","",""
"29.10.19","Ausgabe","Girokarte","Freizeit","5","EUR","5","EUR","",""
"29.10.19","Ausgabe","Girokarte","Lebensmittel","20.6","EUR","20.6","EUR","",""
"29.10.19","Ausgabe","Girokarte","Lebensmittel","8.32","EUR","8.32","EUR","",""
"28.10.19","Ausgabe","Girokarte","Allgemein","24.9","EUR","24.9","EUR","","6minuten Tagebuch "
"28.10.19","Ausgabe","Girokarte","Allgemein","4","EUR","4","EUR","",""
"28.10.19","Ausgabe","Girokarte","Reisen","2.4","EUR","2.4","EUR","",""
"27.10.19","Ausgabe","Girokarte","Freizeit","16.9","EUR","16.9","EUR","",""
"27.10.19","Ausgabe","Girokarte","Freizeit","17.45","EUR","17.45","EUR","",""
"26.10.19","Ausgabe","Girokarte","Reisen","15.99","EUR","15.99","EUR","",""
"26.10.19","Ausgabe","Girokarte","Reisen","0.8","EUR","0.8","EUR","",""
"26.10.19","Ausgabe","Girokarte","Reisen","4","EUR","4","EUR","",""
"26.10.19","Ausgabe","Girokarte","Freizeit","10.1","EUR","10.1","EUR","",""
"26.10.19","Ausgabe","Girokarte","Freizeit","18.5","EUR","18.5","EUR","",""
"25.10.19","Einnahme","Girokarte","Trinkgeld","44.2","EUR","44.2","EUR","",""
"25.10.19","Ausgabe","Girokarte","Lebensmittel","0.6","EUR","0.6","EUR","",""
"25.10.19","Ausgabe","Girokarte","Lebensmittel","1","EUR","1","EUR","",""
"25.10.19","Ausgabe","Girokarte","Lebensmittel","4.9","EUR","4.9","EUR","",""
"25.10.19","Ausgabe","Girokarte","Gesundheit","5","EUR","5","EUR","",""
"24.10.19","Ausgabe","Girokarte","Mensa (Lebensmittel)","10","EUR","10","EUR","",""
"24.10.19","Ausgabe","Girokarte","Schulden","10","EUR","10","EUR","",""
"23.10.19","Ausgabe","Girokarte","Lebensmittel","4.52","EUR","4.52","EUR","",""
"23.10.19","Ausgabe","Girokarte","Arbeit (Lebensmittel)","6.77","EUR","6.77","EUR","",""
"22.10.19","Ausgabe","Girokarte","Lebensmittel","31.91","EUR","31.91","EUR","",""
"22.10.19","Ausgabe","Girokarte","Arbeit (Lebensmittel)","6.97","EUR","6.97","EUR","",""
"22.10.19","Ausgabe","Girokarte","Lebensmittel","6.25","EUR","6.25","EUR","",""
"22.10.19","Ausgabe","Girokarte","Lebensmittel","7.5","EUR","7.5","EUR","",""
"22.10.19","Ausgabe","Girokarte","Reisen","35.9","EUR","35.9","EUR","",""
"16.10.19","Einnahme","Girokarte","Omi","50","EUR","50","EUR","",""
"16.10.19","Einnahme","Girokarte","Papa","314","EUR","314","EUR","",""
"16.10.19","Ausgabe","Girokarte","Abonnenements ","14.99","EUR","14.99","EUR","",""
"14.10.19","Ausgabe","Girokarte","Lebensmittel","1.5","EUR","1.5","EUR","",""
"13.10.19","Ausgabe","Girokarte","Freizeit","7","EUR","7","EUR","",""
"13.10.19","Ausgabe","Girokarte","Freizeit","40","EUR","40","EUR","","Resta"
"13.10.19","Ausgabe","Girokarte","Zaubern (Allgemein)","157.49","EUR","157.49","EUR","","Puzzle of life"
"13.10.19","Ausgabe","Girokarte","Gesundheit","8","EUR","8","EUR","",""
"13.10.19","Ausgabe","Girokarte","Sonstige Reisen (Reisen)","9.35","EUR","9.35","EUR","","Hostel"
"13.10.19","Ausgabe","Girokarte","Freizeit","3.6","EUR","3.6","EUR","",""
"13.10.19","Ausgabe","Girokarte","Freizeit","11.25","EUR","11.25","EUR","",""
"13.10.19","Ausgabe","Girokarte","Freizeit","8","EUR","8","EUR","",""
"12.10.19","Ausgabe","Girokarte","Reisen","2.4","EUR","2.4","EUR","",""
"11.10.19","Ausgabe","Girokarte","Reisen","5","EUR","5","EUR","",""
"11.10.19","Ausgabe","Girokarte","Reisen","7.5","EUR","7.5","EUR","",""
"09.10.19","Ausgabe","Girokarte","Freizeit","30","EUR","30","EUR","",""
"09.10.19","Ausgabe","Girokarte","Reisen","9","EUR","9","EUR","","Verkehr riga"
"09.10.19","Ausgabe","Girokarte","Reisen","2.5","EUR","2.5","EUR","",""
"09.10.19","Ausgabe","Girokarte","Reisen","1","EUR","1","EUR","",""
"09.10.19","Ausgabe","Girokarte","Lebensmittel","7.9","EUR","7.9","EUR","",""
"09.10.19","Ausgabe","Girokarte","Kleidung (Allgemein)","4.8","EUR","4.8","EUR","",""
"08.10.19","Ausgabe","Girokarte","Arbeit (Lebensmittel)","5.39","EUR","5.39","EUR","",""
"07.10.19","Ausgabe","Girokarte","Arbeit (Lebensmittel)","7.74","EUR","7.74","EUR","",""
"06.10.19","Ausgabe","Girokarte","Freizeit","2.5","EUR","2.5","EUR","",""
"06.10.19","Ausgabe","Girokarte","Abonnenements ","9.99","EUR","9.99","EUR","",""
"06.10.19","Ausgabe","Girokarte","Abonnenements ","9.99","EUR","9.99","EUR","",""
"06.10.19","Ausgabe","Girokarte","Abonnenements ","7.99","EUR","7.99","EUR","",""
"05.10.19","Ausgabe","Girokarte","Lebensmittel","12.5","EUR","12.5","EUR","",""
"05.10.19","Ausgabe","Girokarte","Reisen","1.5","EUR","1.5","EUR","",""
"05.10.19","Ausgabe","Girokarte","Allgemein","39","EUR","39","EUR","","DB"
"05.10.19","Ausgabe","Girokarte","Miete","290","EUR","290","EUR","",""
"04.10.19","Ausgabe","Girokarte","Lebensmittel","12","EUR","12","EUR","",""
"04.10.19","Ausgabe","Girokarte","Reisen","27.9","EUR","27.9","EUR","",""
"03.10.19","Ausgabe","Girokarte","Freizeit","20","EUR","20","EUR","",""
"03.10.19","Ausgabe","Girokarte","Miete","9.23","EUR","9.23","EUR","",""
"02.10.19","Ausgabe","Girokarte","Lebensmittel","5.78","EUR","5.78","EUR","",""
"01.10.19","Ausgabe","Girokarte","Arbeit (Lebensmittel)","10.02","EUR","10.02","EUR","",""
"01.10.19","Ausgabe","Girokarte","Lebensmittel","2.15","EUR","2.15","EUR","",""
"30.09.19","Ausgabe","Girokarte","Allgemein","19.99","EUR","19.99","EUR","",""
"30.09.19","Ausgabe","Girokarte","Lebensmittel","19.38","EUR","19.38","EUR","",""
"30.09.19","Ausgabe","Girokarte","Allgemein","5.99","EUR","5.99","EUR","",""
"30.09.19","Ausgabe","Girokarte","Allgemein","0.8","EUR","0.8","EUR","",""
"30.09.19","Ausgabe","Girokarte","Allgemein","2","EUR","2","EUR","",""
"28.09.19","Ausgabe","Girokarte","Lebensmittel","12.21","EUR","12.21","EUR","",""
"28.09.19","Ausgabe","Girokarte","Kleidung (Allgemein)","115.9","EUR","115.9","EUR","",""
"28.09.19","Ausgabe","Girokarte","Kleidung (Allgemein)","43","EUR","43","EUR","",""
"27.09.19","Ausgabe","Girokarte","Freizeit","10","EUR","10","EUR","",""
"27.09.19","Ausgabe","Girokarte","Allgemein","10","EUR","10","EUR","",""
"27.09.19","Ausgabe","Girokarte","Weiterbildung","13.99","EUR","13.99","EUR","",""
"26.09.19","Ausgabe","Girokarte","Lebensmittel","32.63","EUR","32.63","EUR","",""
"23.09.19","Ausgabe","Girokarte","Lebensmittel","14.89","EUR","14.89","EUR","",""
"22.09.19","Ausgabe","Girokarte","Reisen","2.4","EUR","2.4","EUR","",""
"22.09.19","Ausgabe","Girokarte","Zaubern (Allgemein)","31.39","EUR","31.39","EUR","",""
"22.09.19","Ausgabe","Girokarte","Reisen","4.3","EUR","4.3","EUR","",""
"21.09.19","Ausgabe","Girokarte","Freizeit","7.61","EUR","7.61","EUR","",""
"21.09.19","Ausgabe","Girokarte","Lebensmittel","6","EUR","6","EUR","",""
"21.09.19","Ausgabe","Girokarte"," Sonstiges (Allgemein)","15.95","EUR","15.95","EUR","","Geschenk Wadim"
"21.09.19","Ausgabe","Girokarte","Gesundheit","17.4","EUR","17.4","EUR","",""
"20.09.19","Einnahme","Girokarte","Trinkgeld","35","EUR","35","EUR","",""
"20.09.19","Ausgabe","Girokarte","Lebensmittel","4.5","EUR","4.5","EUR","",""
"20.09.19","Ausgabe","Girokarte","Reisen","4.8","EUR","4.8","EUR","",""
"20.09.19","Ausgabe","Girokarte","Reisen","25.27","EUR","25.27","EUR","","Bua"
"19.09.19","Ausgabe","Girokarte","Allgemein","108.99","EUR","108.99","EUR","","OnePlus Kopfhörer"
"19.09.19","Einnahme","Girokarte","Trinkgeld","20","EUR","20","EUR","",""
"19.09.19","Ausgabe","Girokarte","Reisen","2.4","EUR","2.4","EUR","",""
"18.09.19","Einnahme","Girokarte","Einnahmen","555","EUR","555","EUR","","Steueramt "
"18.09.19","Ausgabe","Girokarte","Reisen","107","EUR","107","EUR","","Nach Riga"
"18.09.19","Ausgabe","Girokarte","Allgemein","57","EUR","57","EUR","","TOASTMASTERS"
"18.09.19","Ausgabe","Girokarte","Arbeit (Lebensmittel)","6.25","EUR","6.25","EUR","",""
"18.09.19","Einnahme","Girokarte","Omi","50","EUR","50","EUR","",""
"18.09.19","Einnahme","Girokarte","BAFöG","336","EUR","336","EUR","",""
"18.09.19","Einnahme","Girokarte","Papa","314","EUR","314","EUR","",""
"18.09.19","Ausgabe","Girokarte","Abonnenements ","14.99","EUR","14.99","EUR","",""
"17.09.19","Ausgabe","Girokarte","Arbeit (Lebensmittel)","5.38","EUR","5.38","EUR","",""
"16.09.19","Ausgabe","Girokarte","Lebensmittel","45.77","EUR","45.77","EUR","",""
"15.09.19","Ausgabe","Girokarte","Lebensmittel","6.89","EUR","6.89","EUR","",""
"15.09.19","Ausgabe","Girokarte","Reisen","14.5","EUR","14.5","EUR","",""
"15.09.19","Ausgabe","Girokarte","Allgemein","499","EUR","499","EUR","","Laptop"
"15.09.19","Ausgabe","Girokarte","Reisen","4.8","EUR","4.8","EUR","",""
"14.09.19","Ausgabe","Girokarte","Reisen","17.9","EUR","17.9","EUR","",""
"14.09.19","Ausgabe","Girokarte","Lebensmittel","10.24","EUR","10.24","EUR","",""
"14.09.19","Ausgabe","Girokarte","Reisen","11.3","EUR","11.3","EUR","",""
"14.09.19","Ausgabe","Girokarte","Lebensmittel","9.3","EUR","9.3","EUR","",""
"13.09.19","Ausgabe","Girokarte","Allgemein","16.98","EUR","16.98","EUR","","Ladekabel"
"12.09.19","Ausgabe","Girokarte","Allgemein","6.99","EUR","6.99","EUR","",""
"12.09.19","Ausgabe","Girokarte","Reisen","25","EUR","25","EUR","","Essen thai"
"12.09.19","Ausgabe","Girokarte","Weiterbildung","10.19","EUR","10.19","EUR","",""
"11.09.19","Ausgabe","Girokarte","Reisen","15","EUR","15","EUR","","Essen pizza Madrid"
"11.09.19","Ausgabe","Girokarte","Freizeit","3","EUR","3","EUR","",""
"10.09.19","Ausgabe","Girokarte","Lebensmittel","5","EUR","5","EUR","",""
"10.09.19","Ausgabe","Girokarte","Reisen","25","EUR","25","EUR","","Essen Madrid Kebab"
"10.09.19","Ausgabe","Girokarte","Allgemein","13.99","EUR","13.99","EUR","",""
"09.09.19","Ausgabe","Girokarte","Reisen","15","EUR","15","EUR","","Food restaurant"
"09.09.19","Ausgabe","Girokarte","Reisen","15","EUR","15","EUR","",""
"08.09.19","Ausgabe","Girokarte","Allgemein","8","EUR","8","EUR","",""
"08.09.19","Ausgabe","Girokarte","Lebensmittel","3","EUR","3","EUR","",""
"08.09.19","Ausgabe","Girokarte","Lebensmittel","12.5","EUR","12.5","EUR","",""
"07.09.19","Ausgabe","Girokarte","Allgemein","7.49","EUR","7.49","EUR","",""
"07.09.19","Ausgabe","Girokarte","Reisen","7.23","EUR","7.23","EUR","",""
"07.09.19","Ausgabe","Girokarte","Reisen","5","EUR","5","EUR","",""
"07.09.19","Ausgabe","Girokarte","Freizeit","18","EUR","18","EUR","",""
"07.09.19","Ausgabe","Girokarte","Reisen","4.95","EUR","4.95","EUR","",""
"06.09.19","Ausgabe","Girokarte","Reisen","5","EUR","5","EUR","",""
"06.09.19","Ausgabe","Girokarte","Abonnenements ","7.99","EUR","7.99","EUR","",""
"06.09.19","Ausgabe","Girokarte","Abonnenements ","9.99","EUR","9.99","EUR","",""
"06.09.19","Ausgabe","Girokarte","Abonnenements ","9.99","EUR","9.99","EUR","",""
"04.09.19","Ausgabe","Girokarte","Allgemein","14.95","EUR","14.95","EUR","",""
"03.09.19","Ausgabe","Girokarte","Arbeit (Lebensmittel)","8.15","EUR","8.15","EUR","",""
"03.09.19","Ausgabe","Girokarte","Miete","290","EUR","290","EUR","",""
"03.09.19","Ausgabe","Girokarte","Miete","292","EUR","292","EUR","",""
"03.09.19","Ausgabe","Girokarte","Miete","9.23","EUR","9.23","EUR","",""
"02.09.19","Ausgabe","Girokarte","Lebensmittel","28.92","EUR","28.92","EUR","",""
"01.09.19","Ausgabe","Girokarte","Weiterbildung","28.2","EUR","28.2","EUR","",""
"01.09.19","Ausgabe","Girokarte","Reisen","25.4","EUR","25.4","EUR","",""
"01.09.19","Ausgabe","Girokarte","Lebensmittel","2.5","EUR","2.5","EUR","",""
"01.09.19","Ausgabe","Girokarte","Reisen","2.8","EUR","2.8","EUR","",""
"01.09.19","Ausgabe","Girokarte","Lebensmittel","7","EUR","7","EUR","",""
"01.09.19","Ausgabe","Girokarte","Freizeit","11","EUR","11","EUR","",""
"31.08.19","Ausgabe","Girokarte","Allgemein","46.41","EUR","46.41","EUR","","Qx"
"30.08.19","Ausgabe","Girokarte","Reisen","7.2","EUR","7.2","EUR","",""
"30.08.19","Ausgabe","Girokarte","Weiterbildung","19.9","EUR","19.9","EUR","","Foreign affairs "
"30.08.19","Ausgabe","Girokarte","Reisen","63.6","EUR","63.6","EUR","","Zadar sxf"
"30.08.19","Ausgabe","Girokarte","Reisen","119","EUR","119","EUR","","Riga zadar"
"29.08.19","Ausgabe","Girokarte","Arbeit (Lebensmittel)","6.22","EUR","6.22","EUR","",""
"28.08.19","Ausgabe","Girokarte","Arbeit (Lebensmittel)","7.24","EUR","7.24","EUR","",""
"27.08.19","Ausgabe","Girokarte","Lebensmittel","13.32","EUR","13.32","EUR","",""
"27.08.19","Ausgabe","Girokarte","Sich gönnen","12.9","EUR","12.9","EUR","",""
"26.08.19","Ausgabe","Girokarte","Uni (Allgemein)","0.8","EUR","0.8","EUR","",""
"26.08.19","Ausgabe","Girokarte","Lebensmittel","2.32","EUR","2.32","EUR","",""
"26.08.19","Ausgabe","Girokarte","Allgemein","4.85","EUR","4.85","EUR","",""
"23.08.19","Ausgabe","Girokarte","Lebensmittel","42","EUR","42","EUR","",""
"23.08.19","Ausgabe","Girokarte","Allgemein","23","EUR","23","EUR","","Fahrrad"
"23.08.19","Ausgabe","Girokarte","Allgemein","1.6","EUR","1.6","EUR","",""
"23.08.19","Ausgabe","Girokarte","Mensa (Lebensmittel)","15","EUR","15","EUR","",""
"21.08.19","Ausgabe","Girokarte","Freizeit","10","EUR","10","EUR","",""
"21.08.19","Ausgabe","Girokarte","Lebensmittel","2","EUR","2","EUR","",""
"21.08.19","Ausgabe","Girokarte","Arbeit (Lebensmittel)","7.8","EUR","7.8","EUR","",""
"21.08.19","Einnahme","Girokarte","Omi","50","EUR","50","EUR","",""
"21.08.19","Einnahme","Girokarte","BAFöG","336","EUR","336","EUR","",""
"21.08.19","Einnahme","Girokarte","Papa","314","EUR","314","EUR","",""
"21.08.19","Ausgabe","Girokarte","Abonnenements ","14.99","EUR","14.99","EUR","",""
"20.08.19","Ausgabe","Girokarte","Lebensmittel","23.61","EUR","23.61","EUR","",""
"20.08.19","Ausgabe","Girokarte","Reisen","27.35","EUR","27.35","EUR","",""
"20.08.19","Einnahme","Girokarte","Trinkgeld","13","EUR","13","EUR","",""
"20.08.19","Ausgabe","Girokarte"," Sonstiges (Allgemein)","16.49","EUR","16.49","EUR","","Koffer versand"
"19.08.19","Ausgabe","Girokarte","Sich gönnen","5.7","EUR","5.7","EUR","",""
"19.08.19","Ausgabe","Girokarte","Freizeit","6.69","EUR","6.69","EUR","",""
"19.08.19","Ausgabe","Girokarte","Freizeit","18.3","EUR","18.3","EUR","",""
"19.08.19","Ausgabe","Girokarte","Sich gönnen","4.5","EUR","4.5","EUR","",""
"19.08.19","Ausgabe","Girokarte","Reisen","4.8","EUR","4.8","EUR","",""
"18.08.19","Ausgabe","Girokarte"," Sonstiges (Allgemein)","21.49","EUR","21.49","EUR","","Geschenke Mama"
"15.08.19","Ausgabe","Girokarte","Allgemein","7.85","EUR","7.85","EUR","",""
"14.08.19","Ausgabe","Girokarte","Arbeit (Lebensmittel)","4.5","EUR","4.5","EUR","",""
"13.08.19","Ausgabe","Girokarte","Arbeit (Lebensmittel)","13","EUR","13","EUR","",""
"13.08.19","Ausgabe","Girokarte","Arbeit (Lebensmittel)","5.4","EUR","5.4","EUR","",""
"13.08.19","Ausgabe","Girokarte","Allgemein","3","EUR","3","EUR","",""
"12.08.19","Ausgabe","Girokarte","Gesundheit","1.85","EUR","1.85","EUR","",""
"12.08.19","Ausgabe","Girokarte","Freizeit","15","EUR","15","EUR","",""
"12.08.19","Ausgabe","Girokarte","Allgemein","0.5","EUR","0.5","EUR","",""
"12.08.19","Ausgabe","Girokarte","Allgemein","2","EUR","2","EUR","",""
"12.08.19","Ausgabe","Girokarte","Lebensmittel","15.44","EUR","15.44","EUR","",""
"12.08.19","Ausgabe","Girokarte","Kleidung (Allgemein)","4.8","EUR","4.8","EUR","",""
"12.08.19","Ausgabe","Girokarte","Allgemein","19","EUR","19","EUR","","FRISEUR"
"11.08.19","Ausgabe","Girokarte","Gesundheit","30","EUR","30","EUR","","Fitbox"
"11.08.19","Ausgabe","Girokarte","Lebensmittel","3.4","EUR","3.4","EUR","",""
"11.08.19","Ausgabe","Girokarte","Lebensmittel","2.8","EUR","2.8","EUR","",""
"09.08.19","Ausgabe","Girokarte","Lebensmittel","9","EUR","9","EUR","",""
"08.08.19","Ausgabe","Girokarte","Freizeit","8","EUR","8","EUR","",""
"08.08.19","Ausgabe","Girokarte","Weiterbildung","8.99","EUR","8.99","EUR","",""
"07.08.19","Ausgabe","Girokarte","Freizeit","10","EUR","10","EUR","",""
"07.08.19","Ausgabe","Girokarte","Lebensmittel","1.6","EUR","1.6","EUR","",""
"07.08.19","Ausgabe","Girokarte","Lebensmittel","2.15","EUR","2.15","EUR","",""
