"DATUM","TYP","VOM KONTO","ZUM KONTO / ZUR KATEGORIE","BETRAG","WÄHRUNG","BETRAG 2","WÄHRUNG 2","BEZEICHNUNGEN","NOTIZEN"
"29.03.19","Ausgabe","Girokarte","Schulden","33.6","EUR","33.6","EUR","",""
"28.03.19","Ausgabe","Girokarte","Lebensmittel","10.45","EUR","10.45","EUR","",""
"28.03.19","Ausgabe","Girokarte","Gesundheit","7.45","EUR","7.45","EUR","",""
"27.03.19","Ausgabe","Girokarte","Allgemein","4.57","EUR","4.57","EUR","",""
"27.03.19","Ausgabe","Girokarte","Lebensmittel","14","EUR","14","EUR","",""
"26.03.19","Ausgabe","Girokarte","Reisen","6.85","EUR","6.85","EUR","",""
"26.03.19","Ausgabe","Girokarte","Freizeit","2","EUR","2","EUR","",""
"26.03.19","Ausgabe","Girokarte","Schulden","37.5","EUR","37.5","EUR","",""
"25.03.19","Ausgabe","Girokarte","Lebensmittel","41.41","EUR","41.41","EUR","",""
"24.03.19","Ausgabe","Girokarte","Freizeit","6.5","EUR","6.5","EUR","",""
"24.03.19","Ausgabe","Girokarte","Freizeit","13.8","EUR","13.8","EUR","",""
"24.03.19","Ausgabe","Girokarte","Reisen","14.2","EUR","14.2","EUR","",""
"24.03.19","Ausgabe","Girokarte","Lebensmittel","3.03","EUR","3.03","EUR","",""
"23.03.19","Ausgabe","Girokarte","Reisen","2.8","EUR","2.8","EUR","",""
"23.03.19","Ausgabe","Girokarte","Reisen","16.99","EUR","16.99","EUR","","Flixbus"
"23.03.19","Ausgabe","Girokarte","Reisen","14","EUR","14","EUR","",""
"23.03.19","Ausgabe","Girokarte","Allgemein","17.89","EUR","17.89","EUR","","Wäscheständer"
"23.03.19","Ausgabe","Girokarte","Reisen","27","EUR","27","EUR","",""
"21.03.19","Ausgabe","Girokarte","Reisen","6","EUR","6","EUR","",""
"19.03.19","Ausgabe","Girokarte","Reisen","3.98","EUR","3.98","EUR","",""
"18.03.19","Ausgabe","Girokarte","Reisen","24.48","EUR","24.48","EUR","",""
"17.03.19","Ausgabe","Girokarte","Reisen","17","EUR","17","EUR","",""
"17.03.19","Ausgabe","Girokarte","Reisen","10","EUR","10","EUR","",""
"17.03.19","Ausgabe","Girokarte","Reisen","8","EUR","8","EUR","",""
"16.03.19","Ausgabe","Girokarte","Reisen","35.4","EUR","35.4","EUR","",""
"16.03.19","Ausgabe","Girokarte","Allgemein","3.1","EUR","3.1","EUR","",""
"16.03.19","Ausgabe","Girokarte","Lebensmittel","3.1","EUR","3.1","EUR","",""
"15.03.19","Ausgabe","Girokarte","Allgemein","5","EUR","5","EUR","",""
"15.03.19","Ausgabe","Girokarte","Allgemein","3.5","EUR","3.5","EUR","","Sachen madrid"
"15.03.19","Ausgabe","Girokarte","Gesundheit","4.46","EUR","4.46","EUR","","Aspirin"
"15.03.19","Ausgabe","Girokarte","Lebensmittel","13.12","EUR","13.12","EUR","",""
"14.03.19","Ausgabe","Girokarte","Allgemein","17.8","EUR","17.8","EUR","","Busfahrt zob"
"14.03.19","Ausgabe","Girokarte","Mensa (Lebensmittel)","10","EUR","10","EUR","",""
"13.03.19","Ausgabe","Girokarte","Lebensmittel","33","EUR","33","EUR","",""
"12.03.19","Einnahme","Girokarte","Trinkgeld","31","EUR","31","EUR","",""
"12.03.19","Ausgabe","Girokarte","Freizeit","5","EUR","5","EUR","",""
"12.03.19","Ausgabe","Girokarte","Freizeit","12","EUR","12","EUR","","Falk felix essen"
"12.03.19","Einnahme","Girokarte","Einnahmen","38","EUR","38","EUR","","Trinkgd"
"12.03.19","Einnahme","Girokarte","Einnahmen","20","EUR","20","EUR","","Omk"
"09.03.19","Ausgabe","Girokarte","Lebensmittel","1.38","EUR","1.38","EUR","",""
"06.03.19","Ausgabe","Girokarte","Allgemein","16.8","EUR","16.8","EUR","","Anzug"
"06.03.19","Ausgabe","Girokarte","Abonnenements ","9.99","EUR","9.99","EUR","",""
"06.03.19","Ausgabe","Girokarte","Abonnenements ","7.99","EUR","7.99","EUR","",""
"06.03.19","Ausgabe","Girokarte","Abonnenements ","14.99","EUR","14.99","EUR","",""
"06.03.19","Ausgabe","Girokarte","Abonnenements ","9.99","EUR","9.99","EUR","",""
"05.03.19","Ausgabe","Girokarte","Miete","60","EUR","60","EUR","","Nebenkosten"
"05.03.19","Ausgabe","Girokarte","Miete","232","EUR","232","EUR","","Miete"
"04.03.19","Ausgabe","Girokarte","Allgemein","57","EUR","57","EUR","","TM Halbjahresbeiträge"
"04.03.19","Ausgabe","Girokarte","Allgemein","33.31","EUR","33.31","EUR","","Anwalt basic fit"
"04.03.19","Ausgabe","Girokarte","Lebensmittel","11.48","EUR","11.48","EUR","",""
"04.03.19","Ausgabe","Girokarte","Mensa (Lebensmittel)","15","EUR","15","EUR","",""
"03.03.19","Ausgabe","Girokarte","Allgemein","5.95","EUR","5.95","EUR","","Bus nach DD"
"02.03.19","Ausgabe","Girokarte","Lebensmittel","16.28","EUR","16.28","EUR","",""
"28.02.19","Ausgabe","Girokarte","Reisen","351.07","EUR","351.07","EUR","","London"
"28.02.19","Ausgabe","Girokarte","Allgemein","12.17","EUR","12.17","EUR","",""
"28.02.19","Ausgabe","Girokarte","Freizeit","7.6","EUR","7.6","EUR","",""
"28.02.19","Ausgabe","Girokarte","Lebensmittel","2.91","EUR","2.91","EUR","",""
"25.02.19","Ausgabe","Girokarte","Lebensmittel","25.76","EUR","25.76","EUR","",""
"25.02.19","Ausgabe","Girokarte","Allgemein","3.95","EUR","3.95","EUR","",""
"25.02.19","Ausgabe","Girokarte","Lebensmittel","3","EUR","3","EUR","",""
"18.02.19","Ausgabe","Girokarte","Lebensmittel","2","EUR","2","EUR","",""
"17.02.19","Ausgabe","Girokarte","Freizeit","5","EUR","5","EUR","",""
"16.02.19","Ausgabe","Girokarte"," Sonstiges (Allgemein)","15.9","EUR","15.9","EUR","","Reisesachen "
"15.02.19","Ausgabe","Girokarte","Freizeit","4","EUR","4","EUR","",""
"14.02.19","Ausgabe","Girokarte","Freizeit","38.5","EUR","38.5","EUR","","Antonia Valentinstag"
"14.02.19","Ausgabe","Girokarte","Mensa (Lebensmittel)","10","EUR","10","EUR","",""
